state	year	county	precinct	g2002_USS_dv	g2002_USS_rv	g2002_USH_dv	g2002_USH_rv	g2002_GOV_dv	g2002_GOV_rv	g2002_SOS_lv	g2002_SOS_rv	g2002_USS_tv	g2002_USH_tv	g2002_GOV_tv	g2002_SOS_tv
"WY"	2002	"Laramie"	"Qwest Building 5-2"	255	835	455	596	652	439	155	879	1090	1051	1091	1034
"WY"	2002	"Laramie"	"Laramie County Fire Dist. #2 5-3"	241	512	338	398	440	304	162	548	753	736	744	710
"WY"	2002	"Laramie"	"Cheyenne Hills Church 5-4"	213	665	311	550	498	376	119	708	878	861	874	827
"WY"	2002	"Laramie"	"Carpenter Fire Station 6-1"	91	332	121	289	205	219	56	348	423	410	424	404
"WY"	2002	"Laramie"	"Burns Community Center  6-2"	97	439	152	363	290	247	76	427	536	515	537	503
"WY"	2002	"Laramie"	"Commerce Building 6-3"	100	522	131	476	312	303	83	503	622	607	615	586
"WY"	2002	"Laramie"	"Petsch Feedlot Office 6-4"	7	74	14	63	29	53	6	71	81	77	82	77
"WY"	2002	"Laramie"	"Albin Community Center 6-5"	19	173	31	156	65	126	9	164	192	187	191	173
"WY"	2002	"Laramie"	"Laramie County Community College 7-1"	24	21	24	19	32	12	12	25	45	43	44	37
"WY"	2002	"Laramie"	"Qwest Building 7-2"	2	13	4	10	4	11	1	14	15	14	15	15
"WY"	2002	"Laramie"	"Mary Godfrey Playhouse 7-3"	2	15	5	12	9	7	2	15	17	17	16	17
"WY"	2002	"Laramie"	"Mary Godfrey Playhouse 7-4"	36	56	44	43	55	37	19	64	92	87	92	83
"WY"	2002	"Laramie"	"Laramie County Library 7-5"	43	59	46	50	65	35	21	69	102	96	100	90
"WY"	2002	"Lincoln"	"South Lincoln Training & Events Ctr. 1-1"	121	172	135	152	200	93	68	195	293	287	293	263
"WY"	2002	"Lincoln"	"South Lincoln Training & Events Ctr. 1-2"	142	238	165	198	245	132	86	262	380	363	377	348
"WY"	2002	"Lincoln"	"South Lincoln Training & Events Ctr. 1-3"	111	294	170	221	231	160	76	295	405	391	391	371
"WY"	2002	"Lincoln"	"Diamondville School Admin Bldg 1-4"	70	124	81	107	121	69	41	136	194	188	190	177
"WY"	2002	"Lincoln"	"Diamondville Search & Rescue Bldg 1-5"	59	61	63	52	88	29	37	62	120	115	117	99
"WY"	2002	"Lincoln"	"South Lincoln Training & Events Ctr. 1-6"	22	62	25	55	37	44	18	60	84	80	81	78
"WY"	2002	"Lincoln"	"Opal Town Hall 1-7"	20	57	19	53	41	31	19	52	77	72	72	71
"WY"	2002	"Lincoln"	"LaBarge Town Hall 1-8"	40	209	37	191	79	160	42	191	249	228	239	233
"WY"	2002	"Lincoln"	"Afton Civic Center 2-1"	77	553	125	482	130	490	45	557	630	607	620	602
"WY"	2002	"Lincoln"	"Afton Civic Center  2-2"	39	174	39	163	40	171	14	193	213	202	211	207
"WY"	2002	"Lincoln"	"Alpine Civic Center 2-3"	76	249	73	244	96	224	49	254	325	317	320	303
"WY"	2002	"Lincoln"	"Bedford Water & Sewer Building 2-4"	35	165	33	160	39	156	17	175	200	193	195	192
"WY"	2002	"Lincoln"	"Etna Elementary School 2-5"	92	419	94	390	119	378	45	435	511	484	497	480
"WY"	2002	"Lincoln"	"Afton Civic Center 2-6"	51	279	61	252	62	259	24	296	330	313	321	320
"WY"	2002	"Lincoln"	"Afton Civic Center 2-7"	95	553	131	478	119	509	47	559	648	609	628	606
"WY"	2002	"Lincoln"	"Thayne Town Hall 2-8"	96	467	117	434	130	427	53	485	563	551	557	538
"WY"	2002	"Lincoln"	"Cokeville Town Hall 2-9"	58	243	86	204	110	188	31	261	301	290	298	292
"WY"	2002	"Natrona"	"Roosevelt School 1-1"	239	177	295	105	323	87	172	191	416	400	410	363
"WY"	2002	"Natrona"	"Natrona County Library 1-2"	205	246	267	168	295	151	113	274	451	435	446	387
"WY"	2002	"Natrona"	"Dean Morgan Junior High School 1-3"	248	425	372	262	432	220	149	464	673	634	652	613
"WY"	2002	"Natrona"	"Casper College 1-4"	192	453	303	329	381	263	111	480	645	632	644	591
"WY"	2002	"Natrona"	"Jefferson School 1-5"	189	341	297	216	333	189	94	372	530	513	522	466
"WY"	2002	"Natrona"	"Grant School 1-6"	278	489	429	304	457	284	169	514	767	733	741	683
"WY"	2002	"Natrona"	"Senior Citizens' Center 1-7"	143	218	206	139	231	129	103	239	361	345	360	342
"WY"	2002	"Natrona"	"7th Day Adventist School 1-9"	138	452	251	312	301	285	57	492	590	563	586	549
"WY"	2002	"Natrona"	"Crest Hill School 1-11"	125	475	261	331	318	281	49	518	600	592	599	567
"WY"	2002	"Natrona"	"Willard School 1-12"	130	169	160	123	183	108	88	184	299	283	291	272
"WY"	2002	"Natrona"	"Westwood School 2-1"	275	464	405	305	452	280	184	507	739	710	732	691
"WY"	2002	"Natrona"	"McKinley School 2-2"	274	329	352	220	394	182	146	390	603	572	576	536
"WY"	2002	"Natrona"	"Old CY Junior High School 2-3"	163	392	277	251	319	224	106	412	555	528	543	518
"WY"	2002	"Natrona"	"Southridge School 2-4"	186	352	290	247	338	208	95	406	538	537	546	501
"WY"	2002	"Natrona"	"Casper Shrine Club 2-6"	201	637	370	451	451	391	107	693	838	821	842	800
"WY"	2002	"Natrona"	"Paradise Valley School 2-7"	291	717	450	518	543	450	174	770	1008	968	993	944
"WY"	2002	"Natrona"	"Oregon Trail School 2-8"	182	421	267	305	338	251	107	449	603	572	589	556
"WY"	2002	"Natrona"	"Shepherd of the Valley Care Ctr. 2-9"	165	407	266	283	318	238	95	438	572	549	556	533
"WY"	2002	"Natrona"	"Bethel Baptist Church 2-10"	197	752	393	511	462	482	100	769	949	904	944	869
"WY"	2002	"Natrona"	"University Park School 3-2"	239	368	350	238	392	202	143	406	607	588	594	549
"WY"	2002	"Natrona"	"Pineview School 3-3"	288	486	424	308	473	283	160	535	774	732	756	695
"WY"	2002	"Natrona"	"Sagewood School 3-4"	329	637	489	441	565	381	198	696	966	930	946	894
"WY"	2002	"Natrona"	"Kelly Walsh High School 3-5"	205	583	362	398	432	356	109	609	788	760	788	718
"WY"	2002	"Natrona"	"Manor Heights School 3-6"	154	742	344	511	454	450	74	767	896	855	904	841
"WY"	2002	"Natrona"	"Prince of Peace Lutheran Church 3-8"	278	546	428	352	499	323	154	613	824	780	822	767
"WY"	2002	"Natrona"	"Verda James School 3-9"	152	344	246	229	297	197	83	367	496	475	494	450
"WY"	2002	"Natrona"	"Centennial Junior High School 3-10"	172	762	339	550	441	498	91	783	934	889	939	874
"WY"	2002	"Natrona"	"Evansville School 4-1"	159	319	227	223	264	205	114	335	478	450	469	449
"WY"	2002	"Natrona"	"Evansville School - Out 4-2"	152	394	223	300	268	258	87	412	546	523	526	499
"WY"	2002	"Natrona"	"Hat Six Ranch 5-1"	10	39	15	34	28	22	7	37	49	49	50	44
"WY"	2002	"Natrona"	"Midwest Town Hall 7-1"	28	86	40	70	50	60	23	85	114	110	110	108
"WY"	2002	"Natrona"	"Edgerton Town Hall 7-2"	17	65	27	50	37	42	19	62	82	77	79	81
"WY"	2002	"Natrona"	"Mills Community Center 8-1"	249	378	325	275	378	230	174	405	627	600	608	579
"WY"	2002	"Natrona"	"Mountain View School 8-2"	148	225	214	139	253	116	101	248	373	353	369	349
"WY"	2002	"Natrona"	"Wardwell Water & Sewer 8-3"	107	233	162	155	166	162	91	229	340	317	328	320
"WY"	2002	"Natrona"	"Christian Church of Casper 8-4"	158	525	276	376	334	330	112	539	683	652	664	651
"WY"	2002	"Natrona"	"Bar Nunn School 8-5"	71	215	113	153	143	129	64	207	286	266	272	271
"WY"	2002	"Natrona"	"WY Game and Fish 9-1"	202	683	376	468	473	405	132	707	885	844	878	839
"WY"	2002	"Natrona"	"Red Creek School 11-1"	7	81	13	72	35	52	2	84	88	85	87	86
"WY"	2002	"Natrona"	"Alcova School 11-2"	19	92	37	75	42	72	12	92	111	112	114	104
"WY"	2002	"Natrona"	"Fish Hatchery 11-3"	42	157	81	106	94	99	20	162	199	187	193	182
"WY"	2002	"Natrona"	"Poison Spider School 11-4"	18	53	29	42	32	37	6	58	71	71	69	64
"WY"	2002	"Natrona"	"St. Stephen's Church 12-2"	68	182	103	136	130	113	45	192	250	239	243	237
"WY"	2002	"Natrona"	"Bressler Ranch 13-1"	4	46	12	35	9	37	2	46	50	47	46	48
"WY"	2002	"Natrona"	"Powder River School 13-2"	9	57	15	51	16	49	9	53	66	66	65	62
"WY"	2002	"Natrona"	"Upper Willow Creek 14-1"	0	15	0	15	1	14	3	12	15	15	15	15
"WY"	2002	"Niobrara"	"Rennard's Garage - Warren 1-2"	1	63	2	61	6	57	5	58	64	63	63	63
"WY"	2002	"Niobrara"	"Stage Station - Hat Creek 3-2"	1	67	1	64	3	63	5	62	68	65	66	67
"WY"	2002	"Niobrara"	"Lance Creek Elementary School 4-1"	7	67	10	60	9	59	3	67	74	70	68	70
"WY"	2002	"Niobrara"	"First Baptist Church - N. Lusk 6-1"	55	283	81	249	127	210	40	297	338	330	337	337
"WY"	2002	"Niobrara"	"Congregational Church of Lusk - S. Lusk 6-2"	92	424	146	346	238	270	62	431	516	492	508	493
"WY"	2002	"Niobrara"	"Manville Town Hall 7-1"	13	132	15	124	28	115	9	135	145	139	143	144
"WY"	2002	"Park"	"Clark/Pioneer Rec. Center 1-1"	31	146	36	127	63	107	33	139	177	163	170	172
"WY"	2002	"Park"	"Cody Auditorium 2-1"	116	532	148	468	242	389	93	537	648	616	631	630
"WY"	2002	"Park"	"Cody Auditorium 2-2"	105	493	141	425	264	324	91	481	598	566	588	572
"WY"	2002	"Park"	"LDS Church Gym 3-1"	90	437	109	385	187	327	74	432	527	494	514	506
"WY"	2002	"Park"	"LDS Church Gym 3-2"	93	596	111	551	226	450	77	595	689	662	676	672
"WY"	2002	"Park"	"Grace Baptist Church 4-1"	121	649	142	595	272	478	83	649	770	737	750	732
"WY"	2002	"Park"	"LDS Church Gym 4-2"	13	100	22	83	35	74	15	96	113	105	109	111
"WY"	2002	"Park"	"Garland Community Church 6-1"	55	329	95	275	148	224	57	307	384	370	372	364
"WY"	2002	"Park"	"Park County Courthouse 7-2"	3	56	4	52	10	50	2	54	59	56	60	56
"WY"	2002	"Park"	"Meeteetse Episcopal Church 8-1"	9	99	12	92	17	87	7	98	108	104	104	105
"WY"	2002	"Park"	"Meeteetse Town Hall 8-2"	32	134	30	130	60	101	26	135	166	160	161	161
"WY"	2002	"Park"	"Meeteetse Episcopal Church 8-3"	19	126	18	121	35	106	21	118	145	139	141	139
"WY"	2002	"Park"	"Fairgrounds Lg. Ex. Hall 9-1"	75	235	111	179	150	147	51	236	310	290	297	287
"WY"	2002	"Park"	"Fairgrounds Lg. Ex. Hall 9-2"	87	289	116	233	185	182	58	290	376	349	367	348
"WY"	2002	"Park"	"Fairgrounds Lg. Ex. Hall 9-4"	103	295	145	245	211	187	62	320	398	390	398	382
"WY"	2002	"Park"	"Fairgrounds Lg. Ex. Hall 9-5"	91	259	113	224	168	174	50	277	350	337	342	327
"WY"	2002	"Park"	"Fairgrounds Lg. Ex. Hall 9-7"	106	338	119	297	196	229	86	336	444	416	425	422
"WY"	2002	"Park"	"Fairgrounds Multi-Purp. Bldg. 10-1"	57	299	86	260	102	250	40	294	356	346	352	334
"WY"	2002	"Park"	"Fairgrounds Multi-Purp. Bldg. 10-2"	78	497	108	437	206	356	65	483	575	545	562	548
"WY"	2002	"Park"	"Park County Courthouse 11-2"	13	57	16	49	14	54	10	58	70	65	68	68
"WY"	2002	"Park"	"Wapiti School House 16-1"	127	310	148	275	185	245	65	327	437	423	430	392
"WY"	2002	"Park"	"Mountain View Club 21-1"	89	346	99	316	151	272	64	346	435	415	423	410
"WY"	2002	"Park"	"Fairgrounds Multi-Purp. Bldg. 23-1"	44	167	48	150	83	122	26	179	211	198	205	205
"WY"	2002	"Park"	"Cody Auditorium 24-1"	78	256	91	231	150	185	47	276	334	322	335	323
"WY"	2002	"Park"	"Cody Auditorium 24-2"	98	374	126	333	225	240	69	369	472	459	465	438
"WY"	2002	"Park"	"Cody Auditorium 24-3"	33	139	44	125	68	102	31	136	172	169	170	167
"WY"	2002	"Park"	"Cody Auditorium 25-1"	105	487	147	415	242	349	80	493	592	562	591	573
"WY"	2002	"Park"	"Cody Auditorium 25-2"	50	347	72	301	164	227	32	339	397	373	391	371
"WY"	2002	"Park"	"Cody Auditorium 25-3"	60	331	69	296	133	249	54	318	391	365	382	372
"WY"	2002	"Platte"	"FSB Conference Center 1-1"	90	227	115	193	181	124	56	245	317	308	305	301
"WY"	2002	"Platte"	"FSB Conference Center 1-2"	82	237	115	195	200	112	46	261	319	310	312	307
"WY"	2002	"Platte"	"FSB Conference Center 1-3"	122	366	169	300	287	187	71	391	488	469	474	462
"WY"	2002	"Platte"	"FSB Conference Center 1-4"	85	259	128	202	195	138	54	273	344	330	333	327
"WY"	2002	"Platte"	"4-H Bldg./Wheatland 1-6"	168	532	191	489	357	326	99	578	700	680	683	677
"WY"	2002	"Platte"	"FSB Conference Center Guernsey 2-1"	208	330	220	298	340	194	131	375	538	518	534	506
"WY"	2002	"Platte"	"FSB Conference Center Guernsey 3-1"	25	34	21	32	32	25	17	40	59	53	57	57
"WY"	2002	"Platte"	"Glendo Fire Hall 6-1"	64	110	76	91	106	66	35	130	174	167	172	165
"WY"	2002	"Platte"	"Glendo Fire Hall 6-2"	31	71	37	62	56	47	17	77	102	99	103	94
"WY"	2002	"Platte"	"Chugwater Community Center 9-1"	16	50	20	46	29	33	8	52	66	66	62	60
"WY"	2002	"Platte"	"Chugwater Community Center 10-1"	36	135	41	125	59	103	28	137	171	166	162	165
"WY"	2002	"Platte"	"4-H Building 12-1"	29	200	33	189	100	123	31	194	229	222	223	225
"WY"	2002	"Platte"	"4-H Building 20-1"	86	266	113	232	180	167	42	297	352	345	347	339
"WY"	2002	"Sheridan"	"Ed Hammer Inc. 1-1"	122	219	138	181	170	156	87	233	341	319	326	320
"WY"	2002	"Sheridan"	"Fairgrounds Exhibit Hall 2-1"	128	288	161	230	245	166	80	307	416	391	411	387
"WY"	2002	"Sheridan"	"Sheridan Senior Citizens Center 2-2"	119	297	160	241	214	200	54	329	416	401	414	383
"WY"	2002	"Sheridan"	"Fairgrounds Exhibit Hall 2-3"	174	502	221	424	322	345	125	511	676	645	667	636
"WY"	2002	"Sheridan"	"Sheridan Senior Citizens Center 2-4"	146	344	191	285	249	237	78	381	490	476	486	459
"WY"	2002	"Sheridan"	"Fairgrounds Exhibit Hall 2-5"	174	652	256	542	389	430	76	712	826	798	819	788
"WY"	2002	"Sheridan"	"Sheridan County Courthouse 3-2"	95	215	108	197	176	136	45	245	310	305	312	290
"WY"	2002	"Sheridan"	"Holy Name Church 3-3"	70	197	88	170	123	145	37	219	267	258	268	256
"WY"	2002	"Sheridan"	"Bethesda Worship/Sheridan 3-4"	182	469	253	375	343	309	89	521	651	628	652	610
"WY"	2002	"Sheridan"	"Calvary Baptist Church 3-5"	135	506	189	419	296	335	63	529	641	608	631	592
"WY"	2002	"Sheridan"	"Coffeen School 4-2"	172	423	217	356	329	258	95	457	595	573	587	552
"WY"	2002	"Sheridan"	"Holy Name Church 4-3"	137	329	164	281	236	223	86	356	466	445	459	442
"WY"	2002	"Sheridan"	"Holy Name Church 4-4"	42	95	44	87	60	74	26	99	137	131	134	125
"WY"	2002	"Sheridan"	"Tourist Information Center 5-1"	28	77	36	66	54	50	15	83	105	102	104	98
"WY"	2002	"Sheridan"	"National Guard Armory 6-1"	137	526	210	432	335	319	85	543	663	642	654	628
"WY"	2002	"Sheridan"	"Beckton School 7-1"	46	189	62	165	114	122	30	197	235	227	236	227
"WY"	2002	"Sheridan"	"Story Women's Club 8-1"	136	333	160	293	224	238	87	345	469	453	462	432
"WY"	2002	"Sheridan"	"Arvada School 9-1"	11	37	15	32	25	19	12	31	48	47	44	43
"WY"	2002	"Sheridan"	"Clearmont Town Hall 10-1"	18	127	27	115	45	100	11	127	145	142	145	138
"WY"	2002	"Sheridan"	"Old Woodland Park School 11-1"	154	417	199	355	290	283	89	447	571	554	573	536
"WY"	2002	"Sheridan"	"Big Horn Women's Club 12-1"	214	776	286	669	448	531	106	817	990	955	979	923
"WY"	2002	"Sheridan"	"Fairgrounds Exhibit Hall 13-1"	95	257	128	216	172	177	63	273	352	344	349	336
"WY"	2002	"Sheridan"	"WY Agriculture Sub Station 16-1"	29	144	36	131	49	115	18	143	173	167	164	161
"WY"	2002	"Sheridan"	"Ranchester Town Hall 17-1"	87	252	108	220	181	151	59	255	339	328	332	314
"WY"	2002	"Sheridan"	"Ranchester Town Hall 17-2"	62	171	67	152	114	117	32	187	233	219	231	219
"WY"	2002	"Sheridan"	"Ranchester Town Hall 18-1"	2	45	4	39	16	28	2	42	47	43	44	44
"WY"	2002	"Sheridan"	"Prairie Dog Women's Club 19-1"	33	177	47	151	92	112	30	171	210	198	204	201
"WY"	2002	"Sheridan"	"Dayton Town Hall 20-1"	93	209	114	177	164	132	46	238	302	291	296	284
"WY"	2002	"Sheridan"	"Dayton Town Hall 20-2"	12	84	11	80	35	59	10	84	96	91	94	94
"WY"	2002	"Sublette"	"Pinedale Elementary School 1-1"	144	508	187	433	325	322	79	507	652	620	647	586
"WY"	2002	"Sublette"	"Pinedale Elementary School 1-3"	79	405	112	352	197	285	50	401	484	464	482	451
"WY"	2002	"Sublette"	"Boulder Community Center 1-4"	30	182	36	167	80	130	27	171	212	203	210	198
"WY"	2002	"Sublette"	"Big Piney Annex 2-1"	53	389	79	341	144	292	33	379	442	420	436	412
"WY"	2002	"Sublette"	"Big Piney Annex 2-2"	35	212	52	186	85	157	25	201	247	238	242	226
"WY"	2002	"Sublette"	"Big Piney Annex 2-4"	8	57	7	56	15	51	4	57	65	63	66	61
"WY"	2002	"Sublette"	"Cora 4-1"	33	146	42	129	65	111	19	148	179	171	176	167
"WY"	2002	"Sublette"	"Daniel School 4-2"	19	155	20	151	52	123	12	152	174	171	175	164
"WY"	2002	"Sublette"	"Bondurant Elementary School 5-1"	37	92	42	89	62	68	15	94	129	131	130	109
"WY"	2002	"Sweetwater"	"Granger Town Hall 1-1"	31	33	29	34	34	26	21	36	64	63	60	57
"WY"	2002	"Sweetwater"	"Burntfork Behunin Residence  2-1(02)"	1	11	1	11	4	9	1	12	12	12	13	13
"WY"	2002	"Sweetwater"	"RS East Junior High School 3-1"	153	153	170	130	219	88	81	174	306	300	307	255
"WY"	2002	"Sweetwater"	"RS 1st United Methodist Church 3-2"	272	512	349	424	476	315	157	533	784	773	791	690
"WY"	2002	"Sweetwater"	"RS 1st United Methodist Church 3-3"	109	247	141	201	203	149	65	254	356	342	352	319
"WY"	2002	"Sweetwater"	"RS North Side Parish Center 3-4"	81	67	82	59	111	37	46	81	148	141	148	127
"WY"	2002	"Sweetwater"	"RS County Office Building 3-5"	132	125	167	83	191	57	81	141	257	250	248	222
"WY"	2002	"Sweetwater"	"RS South Side Parish Center 4-1"	214	234	235	191	294	146	118	263	448	426	440	381
"WY"	2002	"Sweetwater"	"RS White Mountain Library 4-2"	41	132	55	113	85	87	20	135	173	168	172	155
"WY"	2002	"Sweetwater"	"RS Sweetwater County Garage 4-3"	109	179	123	147	174	106	88	168	288	270	280	256
"WY"	2002	"Sweetwater"	"RS 1st Congregational Church 4-4"	298	463	358	381	478	284	156	524	761	739	762	680
"WY"	2002	"Sweetwater"	"RS Fire Station #1 5-1"	80	99	97	74	122	57	38	111	179	171	179	149
"WY"	2002	"Sweetwater"	"RS Western WY Comm. College 5-2"	187	429	238	348	339	276	129	447	616	586	615	576
"WY"	2002	"Sweetwater"	"RS School Admin. Bldg. 5-3"	261	558	341	454	461	356	145	595	819	795	817	740
"WY"	2002	"Sweetwater"	"RS White Mountain Library 5-5"	152	178	146	167	194	126	98	200	330	313	320	298
"WY"	2002	"Sweetwater"	"RS Civic Center 6-1"	255	268	290	219	363	152	146	301	523	509	515	447
"WY"	2002	"Sweetwater"	"RS County Events Complex  6-2"	152	275	178	238	248	181	107	284	427	416	429	391
"WY"	2002	"Sweetwater"	"RS Western WY Comm. College 6-3"	131	227	151	200	208	153	73	267	358	351	361	340
"WY"	2002	"Sweetwater"	"RS County Events Complex 6-4"	18	34	15	36	32	17	14	33	52	51	49	47
"WY"	2002	"Sweetwater"	"RS County Events Complex 7-1"	86	293	126	242	177	201	79	276	379	368	378	355
"WY"	2002	"Sweetwater"	"RS County Events Complex 7-2"	85	219	103	190	144	160	63	213	304	293	304	276
"WY"	2002	"Sweetwater"	"K-Motive Bldg./Jamestown 9-1"	74	79	84	67	105	59	49	87	153	151	164	136
"WY"	2002	"Sweetwater"	"K-Motive Bldg./Jamestown 9-2"	26	21	28	18	35	14	13	29	47	46	49	42
"WY"	2002	"Sweetwater"	"GR Sweetwater County Library 10-1"	315	255	323	228	432	145	205	303	570	551	577	508
"WY"	2002	"Sweetwater"	"GR Lincoln Middle School 10-2"	154	107	161	101	205	59	93	138	261	262	264	231
"WY"	2002	"Sweetwater"	"GR Lincoln Middle School 10-3"	222	344	241	293	366	185	133	371	566	534	551	504
"WY"	2002	"Sweetwater"	"GR Recreation Center 10-4"	524	922	606	784	835	593	332	968	1446	1390	1428	1300
"WY"	2002	"Sweetwater"	"GR Mansface Church 10-5"	342	595	396	505	567	366	209	614	937	901	933	823
"WY"	2002	"Sweetwater"	"GR Truman School 10-6"	215	304	242	254	345	175	147	314	519	496	520	461
"WY"	2002	"Sweetwater"	"Reliance Fire Station 12-1"	86	120	84	115	117	79	59	124	206	199	196	183
"WY"	2002	"Sweetwater"	"Fon Slagowski's Residence/Washam 13-1"	3	21	2	22	8	16	3	21	24	24	24	24
"WY"	2002	"Sweetwater"	"Superior Administration Building 19-1"	45	71	57	55	64	44	39	64	116	112	108	103
"WY"	2002	"Sweetwater"	"Eden Farson Fire Station 20-1"	33	230	41	219	80	179	25	225	263	260	259	250
"WY"	2002	"Sweetwater"	"Point of Rocks Roger Varley Res 21-1"	12	16	15	8	21	3	13	12	28	23	24	25
"WY"	2002	"Sweetwater"	"Bitter Creek/CIG Bldg 22-1(02)"	2	7	1	7	2	6	4	4	9	8	8	8
"WY"	2002	"Sweetwater"	"Wamsutter Town Hall 23-1"	18	72	20	67	36	57	14	69	90	87	93	83
"WY"	2002	"Sweetwater"	"McKinnon School 24-1"	7	41	14	33	18	31	3	45	48	47	49	48
"WY"	2002	"Sweetwater"	"Bairoil Town Hall 25-1"	6	45	11	36	16	32	6	43	51	47	48	49
"WY"	2002	"Teton"	"Lower Valley Energy 1-1"	201	318	200	301	280	237	94	352	519	501	517	446
"WY"	2002	"Teton"	"LDS Church 1-2"	185	222	163	220	236	166	99	256	407	383	402	355
"WY"	2002	"Teton"	"National Museum of Wildlife Art 1-3"	128	253	151	212	207	178	52	274	381	363	385	326
"WY"	2002	"Teton"	"Recreation Center 1-4"	127	309	125	191	165	155	69	229	436	316	320	298
"WY"	2002	"Teton"	"Teton County Fair Building 1-5"	323	264	314	230	389	184	167	315	587	544	573	482
"WY"	2002	"Teton"	"Presbyterian Church 1-6"	271	283	260	256	338	203	138	323	554	516	541	461
"WY"	2002	"Teton"	"Jackson Hole Christian Center 1-7"	221	280	225	264	315	195	90	333	501	489	510	423
"WY"	2002	"Teton"	"Jackson Senior Center 1-8"	257	252	235	247	306	207	110	319	509	482	513	429
"WY"	2002	"Teton"	"Teton County Library 1-9"	190	215	176	214	234	162	88	249	405	390	396	337
"WY"	2002	"Teton"	"WYDOT 1-10"	153	354	143	346	199	293	72	381	507	489	492	453
"WY"	2002	"Teton"	"Jackson Hole Airport  2-1"	243	370	235	355	314	299	106	403	613	590	613	509
"WY"	2002	"Teton"	"National Museum of Wildlife Art 2-2"	11	27	12	26	14	23	7	26	38	38	37	33
"WY"	2002	"Teton"	"Moran School 3-1"	95	120	92	114	115	96	49	136	215	206	211	185
"WY"	2002	"Teton"	"Wilson School 4-1"	486	350	476	311	576	240	230	431	836	787	816	661
"WY"	2002	"Teton"	"New Wilson Fire House 4-2"	413	510	400	479	538	374	185	609	923	879	912	794
"WY"	2002	"Teton"	"Alta School 5-1"	47	126	40	128	55	116	24	133	173	168	171	157
"WY"	2002	"Uinta"	"Machine Shop 1-1"	371	831	406	759	660	527	199	936	1202	1165	1187	1135
"WY"	2002	"Uinta"	"Evanston Middle School 1-2"	346	1014	393	922	622	711	195	1089	1360	1315	1333	1284
"WY"	2002	"Uinta"	"Evanston City Hall Chambers 1-3"	250	502	236	467	413	320	144	575	752	703	733	719
"WY"	2002	"Uinta"	"Evanston City Hall Conference 1-4"	54	75	58	67	83	43	28	96	129	125	126	124
"WY"	2002	"Uinta"	"Evanston Library 2-1"	92	451	102	424	214	328	62	469	543	526	542	531
"WY"	2002	"Uinta"	"Bear River Town Hall 2-2"	41	135	35	133	65	107	34	134	176	168	172	168
"WY"	2002	"Uinta"	"Lyman Town Hall Chambers 3-1"	173	440	221	364	294	298	115	468	613	585	592	583
"WY"	2002	"Uinta"	"Lyman Town Hall Conference 3-2"	79	283	110	239	148	213	61	287	362	349	361	348
"WY"	2002	"Uinta"	"Ft. Bridger Elementary School 4-1"	88	232	97	214	151	156	66	228	320	311	307	294
"WY"	2002	"Uinta"	"Mountain View Town Hall 4-2"	123	331	152	283	223	220	81	347	454	435	443	428
"WY"	2002	"Uinta"	"Mtn. View School Admin. Bldg. 4-3"	68	275	82	251	131	202	51	282	343	333	333	333
"WY"	2002	"Washakie"	"Ten Sleep Senior Center 3-1"	51	350	82	313	136	274	23	325	401	395	410	348
"WY"	2002	"Washakie"	"Methodist RER Building/Worland 5-1"	146	570	229	463	398	360	42	542	716	692	758	584
"WY"	2002	"Washakie"	"Worland High School 5-2"	141	623	208	526	386	419	43	564	764	734	805	607
"WY"	2002	"Washakie"	"Worland Community Center Complex 5-3"	82	367	133	306	222	243	39	339	449	439	465	378
"WY"	2002	"Washakie"	"Fairgrounds 5-5"	146	734	200	651	391	509	51	672	880	851	900	723
"WY"	2002	"Weston"	"State Forestry Building/Newcastle 1-1"	78	426	87	390	180	306	63	425	504	477	486	488
"WY"	2002	"Weston"	"State Forestry Building/Newcastle 1-2"	40	282	63	250	133	185	28	280	322	313	318	308
"WY"	2002	"Weston"	"Kitty Moats/Osage 2-1"	33	117	34	105	56	87	26	115	150	139	143	141
"WY"	2002	"Weston"	"Upton Community Center 3-1"	20	158	21	151	43	129	16	156	178	172	172	172
"WY"	2002	"Weston"	"Upton Community Center 4-1"	65	354	90	314	135	255	47	344	419	404	390	391
"WY"	2002	"Weston"	"State Forestry Building/Newcastle 5-1"	74	285	79	270	140	220	64	275	359	349	360	339
"WY"	2002	"Weston"	"State Forestry Building/Newcastle 5-2"	63	225	66	212	116	160	37	233	288	278	276	270
"WY"	2002	"Weston"	"State Forestry Building/Newcastle 5-3"	117	443	124	415	255	289	85	447	560	539	544	532
