state	year	county	precinct	cd	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv
"AR"	2000	"Cleveland County"	"Hurricane 06"	4	71	90	162	77	86	163
"AR"	2000	"Cleveland County"	"Lee 07"	4	84	78	162	90	76	166
"AR"	2000	"Cleveland County"	"Miller 08"	4	90	127	229	97	128	225
"AR"	2000	"Cleveland County"	"Niven 09"	4	52	31	90	60	29	89
"AR"	2000	"Cleveland County"	"Redland 10"	4	91	112	205	86	124	210
"AR"	2000	"Cleveland County"	"Rowell 11"	4	57	80	148	53	90	143
"AR"	2000	"Cleveland County"	"Saline 12"	4	5	24	29	8	20	28
"AR"	2000	"Cleveland County"	"Smith 14"	4	73	68	144	80	64	144
"AR"	2000	"Cleveland County"	"Whiteoak 15"	4	44	83	137	50	89	139
"AR"	2000	"Cleveland County"	"Whiteville 16"	4	129	181	316	132	182	314
"AR"	2000	"Columbia County"	"Magnolia North"	4	147	521	692	164	513	677
"AR"	2000	"Columbia County"	"Magnolia Northwest"	4	104	266	374	132	229	361
"AR"	2000	"Columbia County"	"Magnolia Southwest"	4	103	173	289	127	154	281
"AR"	2000	"Columbia County"	"Magnolia South"	4	225	157	391	212	145	357
"AR"	2000	"Columbia County"	"Magnolia Calhoun"	4	18	79	100	29	66	95
"AR"	2000	"Columbia County"	"Magnolia Ward 1"	4	292	158	466	257	168	425
"AR"	2000	"Columbia County"	"Magnolia Ward 2"	4	362	109	481	337	108	445
"AR"	2000	"Columbia County"	"Magnolia Ward 3"	4	276	532	852	288	542	830
"AR"	2000	"Columbia County"	"Magnolia Ward 4"	4	218	437	687	218	446	664
"AR"	2000	"Columbia County"	"Village Township"	4	104	139	263	132	112	244
"AR"	2000	"Columbia County"	"McNeil Township"	4	157	135	305	165	121	286
"AR"	2000	"Columbia County"	"McNeil City"	4	129	71	203	127	56	183
"AR"	2000	"Columbia County"	"Waldo Township"	4	147	134	293	157	110	267
"AR"	2000	"Columbia County"	"City of Waldo"	4	242	136	390	242	115	357
"AR"	2000	"Columbia County"	"Emerson East"	4	28	70	101	34	64	98
"AR"	2000	"Columbia County"	"Emerson Central"	4	127	127	268	135	110	245
"AR"	2000	"Columbia County"	"Emerson West"	4	51	139	198	71	119	190
"AR"	2000	"Columbia County"	"Emerson City"	4	48	54	106	57	41	98
"AR"	2000	"Columbia County"	"Taylor Township"	4	148	162	316	164	129	293
"AR"	2000	"Columbia County"	"Taylor City"	4	75	136	225	110	105	215
"AR"	2000	"Columbia County"	"Early"	4	852	1145	2017	946	1084	2030
"AR"	2000	"Columbia County"	"Absentee"	4	150	138	290	158	128	286
"AR"	2000	"Columbia County"	"Overseas Absentees"	4	0	0	0	0	0	0
"AR"	2000	"Conway County"	"McClaren"	2	26	39	70	34	33	67
"AR"	2000	"Conway County"	"Welbourne East JP 9"	2	101	172	281	135	143	278
"AR"	2000	"Conway County"	"Welbourne West JP 8"	2	18	33	53	25	26	51
"AR"	2000	"Conway County"	"Early"	2	697	620	1339	818	507	1325
"AR"	2000	"Conway County"	"Absentee"	2	135	88	226	155	72	227
"AR"	2000	"Conway County"	"001 Austin/012 Lick Mtn"	2	136	197	346	205	139	344
"AR"	2000	"Conway County"	"002 Bentley City"	2	84	124	215	119	93	212
"AR"	2000	"Conway County"	"Welbourne West JP 2"	2	68	78	149	77	67	144
"AR"	2000	"Conway County"	"St. Vincent"	2	89	116	211	135	78	213
"AR"	2000	"Conway County"	"005 Steele"	2	67	118	191	90	93	183
"AR"	2000	"Conway County"	"006 Menifee/031 Menifee Rural"	2	125	18	143	122	18	140
"AR"	2000	"Conway County"	"007 Howard City"	2	142	90	248	165	85	250
"AR"	2000	"Conway County"	"008 Higgins/019 Martin"	2	31	56	87	43	48	91
"AR"	2000	"Conway County"	"009 Cedar Falls"	2	47	64	114	61	50	111
"AR"	2000	"Conway County"	"010 Gregory"	2	56	65	126	72	47	119
"AR"	2000	"Conway County"	"011 Griffin"	2	90	79	174	108	65	173
"AR"	2000	"Conway County"	"013 Washington East"	2	136	216	366	182	189	371
"AR"	2000	"Conway County"	"015 Howard Rural"	2	81	73	159	95	60	155
"AR"	2000	"Conway County"	"017 Morrilton Ward 3"	2	227	129	366	240	113	353
"AR"	2000	"Conway County"	"018 Morrilton Ward 4"	2	152	156	313	179	132	311
"AR"	2000	"Conway County"	"020 Morrilton Ward 2"	2	150	145	302	179	118	297
"AR"	2000	"Conway County"	"021 Union"	2	151	127	287	173	106	279
"AR"	2000	"Conway County"	"022 Bentley Rural"	2	68	87	163	86	74	160
"AR"	2000	"Conway County"	"023 Washington West"	2	80	87	173	100	74	174
"AR"	2000	"Conway County"	"024 Bird"	2	80	118	203	112	91	203
"AR"	2000	"Conway County"	"025 Catholic Point"	2	85	41	130	104	25	129
"AR"	2000	"Conway County"	"026 Petit Jean/016 White Eagle"	2	18	37	56	22	31	53
"AR"	2000	"Conway County"	"027 Nichols"	2	99	86	190	113	75	188
"AR"	2000	"Conway County"	"028 Old Hickory"	2	26	22	49	33	16	49
"AR"	2000	"Conway County"	"029 Morrilton Ward 1"	2	208	229	446	241	201	442
"AR"	2000	"Conway County"	"Welbourne East JP 7"	2	23	35	58	35	21	56
"AR"	2000	"Conway County"	"Overseas Absentees"	2	0	0	0	0	0	0
"AR"	2000	"Craighead County"	"Gilkerson"	1	94	124	220	120	101	221
"AR"	2000	"Craighead County"	"Caraway"	1	320	173	517	362	164	528
"AR"	2000	"Craighead County"	"Brookland"	1	379	404	802	406	408	815
"AR"	2000	"Craighead County"	"Buffalo"	1	322	182	521	365	165	530
"AR"	2000	"Craighead County"	"Greenfield"	1	182	203	394	196	200	396
"AR"	2000	"Craighead County"	"Herndon"	1	110	130	247	125	126	251
"AR"	2000	"Craighead County"	"Lake City"	1	197	173	376	209	168	377
"AR"	2000	"Craighead County"	"Lester"	1	53	40	98	60	38	98
"AR"	2000	"Craighead County"	"Maumelle"	1	497	258	776	528	269	797
"AR"	2000	"Craighead County"	"Powell"	1	168	221	408	200	209	410
"AR"	2000	"Craighead County"	"Promised Land"	1	58	18	80	62	21	83
"AR"	2000	"Craighead County"	"Texas & Little Texas"	1	89	91	184	121	71	192
"AR"	2000	"Craighead County"	"Absentee Votes"	1	749	511	1283	815	444	1260
"AR"	2000	"Craighead County"	"Early Votes"	1	4142	4485	8788	5076	3764	8853
"AR"	2000	"Craighead County"	"Precinct #1"	1	410	334	774	421	351	772
"AR"	2000	"Craighead County"	"Precinct #2"	1	511	213	746	502	246	750
"AR"	2000	"Craighead County"	"Precinct #3"	1	372	287	682	393	280	674
"AR"	2000	"Craighead County"	"Precinct #4"	1	460	519	1014	561	453	1016
"AR"	2000	"Craighead County"	"Precinct #5"	1	402	378	806	457	342	805
"AR"	2000	"Craighead County"	"Precinct #6"	1	411	292	723	432	293	728
"AR"	2000	"Craighead County"	"Precinct #7N"	1	197	203	409	221	188	409
"AR"	2000	"Craighead County"	"Precinct #7S"	1	393	688	1100	511	584	1099
"AR"	2000	"Craighead County"	"Precinct #8"	1	664	942	1634	794	837	1632
"AR"	2000	"Craighead County"	"Precinct #9"	1	560	617	1217	617	590	1209
"AR"	2000	"Craighead County"	"Big Creek"	1	556	633	1235	606	632	1241
"AR"	2000	"Craighead County"	"Black Oak #1"	1	80	39	123	100	27	127
"AR"	2000	"Crawford County"	"Early"	3	1077	1775	2920			
"AR"	2000	"Crawford County"	"Absentee"	3	195	201	409			
"AR"	2000	"Crawford County"	"001 Alma 1"	3	203	263	488			
"AR"	2000	"Crawford County"	"002 Alma 2"	3	163	284	455			
"AR"	2000	"Crawford County"	"003 Alma 3"	3	275	472	762			
"AR"	2000	"Crawford County"	"004 Bidville"	3	3	22	25			
"AR"	2000	"Crawford County"	"005 Cedar Creek"	3	43	62	108			
"AR"	2000	"Crawford County"	"006 Cedarville"	3	145	334	505			
"AR"	2000	"Crawford County"	"007 Chester"	3	74	94	176			
"AR"	2000	"Crawford County"	"008 Cove City"	3	18	36	55			
"AR"	2000	"Crawford County"	"009 Dean Springs"	3	199	425	642			
"AR"	2000	"Crawford County"	"010 Dora"	3	45	86	137			
"AR"	2000	"Crawford County"	"011 Dyer"	3	141	207	363			
"AR"	2000	"Crawford County"	"012 Jasper"	3	182	378	592			
"AR"	2000	"Crawford County"	"013 Kibler"	3	148	348	516			
"AR"	2000	"Crawford County"	"014 Lancaster"	3	97	182	297			
"AR"	2000	"Crawford County"	"015 Lee Creek"	3	44	179	233			
"AR"	2000	"Crawford County"	"016 Locke"	3	22	51	76			
"AR"	2000	"Crawford County"	"017 Mulberry 1"	3	91	79	177			
"AR"	2000	"Crawford County"	"019 Mulberry 3"	3	159	187	361			
"AR"	2000	"Crawford County"	"020 Mountainburg"	3	232	399	647			
"AR"	2000	"Crawford County"	"021 Oliver Springs"	3	132	313	454			
"AR"	2000	"Crawford County"	"022 Porter"	3	29	40	73			
"AR"	2000	"Crawford County"	"023 Rudy"	3	118	254	395			
"AR"	2000	"Crawford County"	"024 Uniontown"	3	81	136	223			
"AR"	2000	"Crawford County"	"025 Upper"	3	18	28	47			
"AR"	2000	"Crawford County"	"026 VB 1-1"	3	100	194	301			
"AR"	2000	"Crawford County"	"027 VB 1-2"	3	275	528	811			
"AR"	2000	"Crawford County"	"028 VB 2-1"	3	138	155	300			
"AR"	2000	"Crawford County"	"029 VB 2-2"	3	196	341	549			
"AR"	2000	"Crawford County"	"030 VB 3-1"	3	241	346	608			
"AR"	2000	"Crawford County"	"031 VB 3-2"	3	174	243	431			
"AR"	2000	"Crawford County"	"032 VB 3-3"	3	149	276	438			
"AR"	2000	"Crawford County"	"033 VB 3-4"	3	157	229	390			
"AR"	2000	"Crawford County"	"034 VB 3-6"	3	230	418	661			
"AR"	2000	"Crawford County"	"035 VB 3-5"	3	223	383	617			
"AR"	2000	"Crawford County"	"036 Vine Prairie"	3	101	109	215			
"AR"	2000	"Crawford County"	"037 Whitley"	3	73	176	259			
"AR"	2000	"Crawford County"	"038 Winfrey"	3	11	17	28			
"AR"	2000	"Crawford County"	"039 VB 1-3"	3	286	554	881			
"AR"	2000	"Crittenden County"	"(04) Ward 1, Precinct 2"	1	131	301	436	196	230	430
"AR"	2000	"Crittenden County"	"(05) Ward 1, Precinct 3"	1	135	214	351	189	151	343
"AR"	2000	"Crittenden County"	"(06) Ward 1, Precinct 4"	1	245	113	364	261	96	362
"AR"	2000	"Crittenden County"	"(07) Ward 2, Precinct 1"	1	140	57	200	156	57	214
"AR"	2000	"Crittenden County"	"(08) Ward 2, Precinct 2"	1	65	2	67	60	3	66
"AR"	2000	"Crittenden County"	"(09) Ward 2, Precinct 3"	1	362	2	366	373	24	402
"AR"	2000	"Crittenden County"	"(10) Ward 3, Precinct 1"	1	83	187	276	114	164	281
"AR"	2000	"Crittenden County"	"(11) Ward 3, Precinct 2"	1	113	169	285	132	140	273
"AR"	2000	"Crittenden County"	"(12) Ward 3, Precinct 3"	1	109	206	325	166	167	335
"AR"	2000	"Crittenden County"	"(13) Ward 4, Precinct 1"	1	364	63	429	408	62	478
"AR"	2000	"Crittenden County"	"(14) Ward 4, Precinct 2"	1	203	26	230	226	30	258
"AR"	2000	"Crittenden County"	"(15) Ward 5, Precinct 1"	1	302	1	303	304	12	319
"AR"	2000	"Crittenden County"	"(16) Ward 5, Precinct 2"	1	220	17	237	226	18	247
"AR"	2000	"Crittenden County"	"(17) Jasper 1"	1	137	250	399	182	217	399
"AR"	2000	"Crittenden County"	"(18) Jasper 2"	1	137	244	395	186	213	400
"AR"	2000	"Crittenden County"	"(19) Jasper 3"	1	165	334	508	206	309	519
"AR"	2000	"Crittenden County"	"(20) Jasper Country Box"	1	111	96	209	128	91	222
"AR"	2000	"Crittenden County"	"(21) Lucas"	1	72	96	170	88	70	159
"AR"	2000	"Crittenden County"	"(22) Horseshoe Lake"	1	58	59	120	66	42	108
"AR"	2000	"Crittenden County"	"(23) Bob Ward I, Edmondson"	1	144	67	212	149	55	206
"AR"	2000	"Crittenden County"	"(24) Bob Ward II"	1	74	1	75	73	3	76
"AR"	2000	"Crittenden County"	"(25) Proctor"	1	102	84	191	105	79	186
"AR"	2000	"Crittenden County"	"(26) South Tyronza, Jeanette"	1	52	2	55	44	12	56
"AR"	2000	"Crittenden County"	"(27) Earle I"	1	85	40	126	113	36	151
"AR"	2000	"Crittenden County"	"(28) Earle II"	1	119	107	228	174	78	253
"AR"	2000	"Crittenden County"	"(29) Earle III"	1	100	16	118	102	19	123
"AR"	2000	"Crittenden County"	"(30) Earle IV"	1	198	3	201	213	3	217
"AR"	2000	"Crittenden County"	"(31) North & South Tyronza"	1	47	40	87	63	25	88
"AR"	2000	"Crittenden County"	"(32) East & West Black Oak"	1	27	44	72	35	35	70
"AR"	2000	"Crittenden County"	"(33) Jackson I"	1	198	134	336	233	103	342
"AR"	2000	"Crittenden County"	"(34) Jackson II"	1	76	15	91	80	11	91
"AR"	2000	"Crittenden County"	"(35) Mound City"	1	29	20	50	33	13	46
"AR"	2000	"Crittenden County"	"(36) Gilmore, North Fogleman"	1	66	32	98	65	28	93
"AR"	2000	"Crittenden County"	"(37) Turrell, South Fogleman"	1	173	25	201	185	22	210
"AR"	2000	"Crittenden County"	"(38) Wappanocca"	1	16	60	77	30	41	71
"AR"	2000	"Crittenden County"	"(39) Wappanoca, Jericho"	1	42	1	45	58	1	60
"AR"	2000	"Crittenden County"	"(40) Sunset"	1	91	3	96	94	5	99
"AR"	2000	"Crittenden County"	"(03) Ward 1, Precinct 1"	1	56	103	162	74	87	162
"AR"	2000	"Crittenden County"	"(02) Absentee"	1	767	219	988	771	165	937
"AR"	2000	"Crittenden County"	"(01) Early"	1	1610	2404	4055	1957	1968	4005
"AR"	2000	"Cross County"	"Absentee"	1	137	75	214	174	40	214
"AR"	2000	"Cross County"	"Early"	1	394	463	868	524	330	854
"AR"	2000	"Cross County"	"014 PARKIN WARD 1, 2, TYRONZA & TWIST"	1	339	154	505	400	107	507
"AR"	2000	"Cross County"	"701-702 BIRDEYE BAY VILLAGE"	1	75	82	161	98	62	160
"AR"	2000	"Cross County"	"710-722 CHERRY VALLEY CITY & MITCHELL"	1	164	132	305	206	102	308
"AR"	2000	"Cross County"	"720-721 HICKORY RIDGE CITY & TOWNSHIP"	1	82	140	225	125	106	231
"AR"	2000	"Cross County"	"723 Searcy"	1	165	192	363	211	151	362
"AR"	2000	"Cross County"	"816 Parkin Ward 3"	1	132	18	151	130	18	148
"AR"	2000	"Cross County"	"901 Wynne Ward 1"	1	238	243	491	299	197	496
"AR"	2000	"Cross County"	"902 Wynne Ward 2"	1	190	250	448	253	198	451
"AR"	2000	"Cross County"	"903 Wynne Ward 3"	1	171	92	265	179	83	262
"AR"	2000	"Cross County"	"904 Wynne Ward 4"	1	352	6	358	334	11	345
"AR"	2000	"Cross County"	"905 Wynne Ward 5"	1	214	392	614	377	234	611
"AR"	2000	"Cross County"	"906-912-913 WYNNE TWSP.- SMITH LV/WD"	1	279	462	749	411	335	746
"AR"	2000	"Cross County"	"907 Bedford"	1	43	93	136	62	75	137
"AR"	2000	"Cross County"	"908 Brushy Lake"	1	50	59	110	75	35	110
"AR"	2000	"Cross County"	"910 Ellis"	1	54	123	177	97	80	177
"AR"	2000	"Cross County"	"911 Fair Oaks"	1	17	57	75	35	40	75
"AR"	2000	"Cross County"	"Overseas Absentees"	1	0	0	0	0	0	0
"AR"	2000	"Dallas County"	"Beech Grove Baptist Church"	4	91	159	255	88	166	254
"AR"	2000	"Dallas County"	"Carthage City Hall"	4	140	22	163	148	24	172
"AR"	2000	"Dallas County"	"Holly Springs Community Center"	4	30	111	143	35	112	147
"AR"	2000	"Dallas County"	"Prosperity Church"	4	48	54	105	49	56	105
"AR"	2000	"Dallas County"	"Dalark Community Center"	4	51	41	93	63	42	105
"AR"	2000	"Dallas County"	"Manning Community Center"	4	17	15	32	14	18	32
"AR"	2000	"Dallas County"	"Pine Grove Community Center"	4	84	91	176	77	102	179
"AR"	2000	"Dallas County"	"Princeton Community Center"	4	57	28	86	55	33	88
"AR"	2000	"Dallas County"	"Tulip Community Center"	4	47	13	64	52	14	66
"AR"	2000	"Dallas County"	"Zion Baptist Church"	4	49	206	257	49	212	261
"AR"	2000	"Dallas County"	"Sparkman City Hall"	4	148	114	263	159	113	272
"AR"	2000	"Dallas County"	"Round Hill Community Center"	4	11	14	26	7	18	25
"AR"	2000	"Dallas County"	"Absentee 2"	4	184	171	357	173	184	357
"AR"	2000	"Dallas County"	"absentee 1"	4	61	31	93	59	31	90
"AR"	2000	"Dallas County"	"Alternative School"	4	188	64	253	188	73	261
"AR"	2000	"Dallas County"	"Fordyce City Hall"	4	183	65	252	182	82	264
"AR"	2000	"Dallas County"	"Treasurer's Office"	4	96	46	146	97	54	151
"AR"	2000	"Dallas County"	"First United Methodist Church"	4	151	241	398	167	233	400
"AR"	2000	"Dallas County"	"Judge's Office"	4	74	85	163	73	98	171
"AR"	2000	"Desha County"	"01 Bowie Ward 1 (McGehee)"	4	223	327	558	211	342	553
"AR"	2000	"Desha County"	"02 Bowie Ward 2 (McGehee)"	4	277	177	464	229	202	431
"AR"	2000	"Desha County"	"Early & Absentee"	4	171	68	243	159	67	226
"AR"	2000	"Desha County"	"03 Bowie Ward 3 (McGehee)"	4	256	61	325	228	78	306
"AR"	2000	"Desha County"	"04 Bowie Rural"	4	22	26	50	26	23	49
"AR"	2000	"Desha County"	"05 Clayton McAuthur"	4	75	35	114	54	54	108
"AR"	2000	"Desha County"	"06 and 07 Clayton Reed and Tillar"	4	114	13	128	51	66	117
"AR"	2000	"Desha County"	"08 Franklin (Arkansas City)"	4	161	92	265	136	113	249
"AR"	2000	"Desha County"	"09 Halley"	4	34	47	84	28	51	79
"AR"	2000	"Desha County"	"10 Jefferson"	4	24	28	55	20	35	55
"AR"	2000	"Desha County"	"11 Mississippi (Snow Lake)"	4	25	9	36	14	14	28
"AR"	2000	"Desha County"	"12 Mitchellville"	4	165	0	169	155	6	161
"AR"	2000	"Desha County"	"13 Randolph Ward 1 (Dumas)"	4	258	62	330	208	90	298
"AR"	2000	"Desha County"	"14 Randolph Ward 2 (Dumas)"	4	235	21	262	195	42	237
"AR"	2000	"Desha County"	"15 Randolph Ward 3 (Dumas)"	4	256	194	464	222	214	436
"AR"	2000	"Desha County"	"16 Randolph Ward 4 (Dumas)"	4	212	178	397	208	169	377
"AR"	2000	"Desha County"	"17 Randolph Rural"	4	36	26	63	33	27	60
"AR"	2000	"Desha County"	"18 Redfork (Watson)"	4	104	90	204	106	79	185
"AR"	2000	"Desha County"	"19 Richland (Rohwer)"	4	50	85	139	48	86	134
"AR"	2000	"Desha County"	"20 Silver Lake"	4	36	43	80	28	48	76
"AR"	2000	"Desha County"	"21 Walnut Lake"	4	42	21	65	36	22	58
"AR"	2000	"Desha County"	"Overseas Absentees"	4	0	0	0	0	0	0
"AR"	2000	"Drew County"	"Early"	4	346	350	708	315	401	716
"AR"	2000	"Drew County"	"Absentee"	4	81	70	153	66	85	151
"AR"	2000	"Drew County"	"01 Ward 1"	4	407	122	534	380	161	541
"AR"	2000	"Drew County"	"02 Ward 2"	4	382	538	936	314	619	933
"AR"	2000	"Drew County"	"03 Ward 3"	4	261	151	420	229	188	417
"AR"	2000	"Drew County"	"04 Ward 4"	4	204	235	453	187	274	461
"AR"	2000	"Drew County"	"05 Collins"	4	45	59	105	50	57	107
"AR"	2000	"Drew County"	"06 Enon"	4	32	74	108	35	73	108
"AR"	2000	"Drew County"	"07 Jerome"	4	29	21	50	24	28	52
"AR"	2000	"Drew County"	"08 Lacey"	4	96	100	200	98	101	199
"AR"	2000	"Drew County"	"09 Mar N Box 1"	4	308	285	602	290	320	610
"AR"	2000	"Drew County"	"10 Mar N Box 2"	4	104	185	295	106	191	297
"AR"	2000	"Drew County"	"11 Marion South"	4	139	207	353	123	232	355
"AR"	2000	"Drew County"	"12 Ozment"	4	48	48	98	47	52	99
"AR"	2000	"Drew County"	"13 Plantersville"	4	50	62	117	52	61	113
"AR"	2000	"Drew County"	"14 Selma"	4	151	69	226	158	75	233
"AR"	2000	"Drew County"	"15 Tillar"	4	46	34	81	39	43	82
"AR"	2000	"Drew County"	"16 Wilmar"	4	252	129	385	240	155	395
"AR"	2000	"Drew County"	"17 Winchester"	4	79	17	98	76	22	98
"AR"	2000	"Drew County"	"Overseas Absentees"	4	0	0	0	0	0	0
"AR"	2000	"Faulkner County"	"ABESENTEE"	2	508	446	975	599	355	954
"AR"	2000	"Faulkner County"	"Vilonia Cypress"	2	118	276	415	174	198	372
"AR"	2000	"Faulkner County"	"4A"	2	61	89	164	82	70	152
"AR"	2000	"Faulkner County"	"4B"	2	150	184	361	169	168	337
"AR"	2000	"Faulkner County"	"4C"	2	244	354	603	173	276	449
"AR"	2000	"Faulkner County"	"4D"	2	331	479	840	407	398	805
"AR"	2000	"Faulkner County"	"2A"	2	327	220	602	365	156	521
"AR"	2000	"Faulkner County"	"2B"	2	186	217	456	221	167	388
"AR"	2000	"Faulkner County"	"3A"	2	368	750	1148	492	610	1102
"AR"	2000	"Faulkner County"	"3B"	2	302	401	736	374	327	701
"AR"	2000	"Faulkner County"	"3C-E"	2	191	196	419	225	169	394
"AR"	2000	"Faulkner County"	"3C-W"	2	357	602	989	458	492	950
"AR"	2000	"Faulkner County"	"1C-N"	2	337	422	822	401	356	757
"AR"	2000	"Faulkner County"	"1C-S"	2	261	417	709	321	351	672
"AR"	2000	"Faulkner County"	"1E-E"	2	344	344	714	426	482	908
"AR"	2000	"Faulkner County"	"1E-W"	2	79	161	246	106	130	236
"AR"	2000	"Faulkner County"	"E CAD A"	2	386	566	999	473	469	942
"AR"	2000	"Faulkner County"	"E CAD B"	2	364	436	838	414	362	776
"AR"	2000	"Faulkner County"	"West Cadron"	2	88	104	209	113	81	194
"AR"	2000	"Faulkner County"	"Benedict/Danley R"	2	323	277	635	356	198	554
"AR"	2000	"Faulkner County"	"Bristol/Newton"	2	81	42	136	136	102	238
"AR"	2000	"Faulkner County"	"California"	2	220	231	480	279	166	445
"AR"	2000	"Faulkner County"	"Clifton"	2	215	325	570	280	247	527
"AR"	2000	"Faulkner County"	"East Cypress"	2	134	205	355	170	133	303
"AR"	2000	"Faulkner County"	"Vilonia City"	2	357	732	1140	308	361	669
"AR"	2000	"Faulkner County"	"Danley City"	2	271	255	551	213	183	396
"AR"	2000	"Faulkner County"	"Eagle"	2	328	646	1026	446	510	956
"AR"	2000	"Faulkner County"	"East Fork"	2	228	322	583	289	252	541
"AR"	2000	"Faulkner County"	"Enola"	2	85	134	233	117	87	204
"AR"	2000	"Faulkner County"	"Hardin City"	2	375	589	1007	489	459	948
"AR"	2000	"Faulkner County"	"Hardin Rural"	2	164	315	498	219	238	457
"AR"	2000	"Faulkner County"	"Matthews"	2	72	110	188	91	73	164
"AR"	2000	"Faulkner County"	"Mt. Vernon So Mtn."	2	127	75	208	129	56	185
"AR"	2000	"Faulkner County"	"Pine Mtn."	2	357	241	627	378	192	570
"AR"	2000	"Faulkner County"	"Palarm"	2	195	299	513	233	211	444
"AR"	2000	"Faulkner County"	"Union"	2	150	224	390	175	196	371
"AR"	2000	"Faulkner County"	"Walker"	2	120	128	261	111	108	219
"AR"	2000	"Faulkner County"	"Wilson"	2	97	183	298	117	147	264
"AR"	2000	"Faulkner County"	"Harve"	2	94	133	234	122	99	221
"AR"	2000	"Faulkner County"	"Benton/No Mtn."	2	125	128	268	136	102	238
"AR"	2000	"Faulkner County"	"EARLY"	2	2830	3797	6770	2734	2602	5336
"AR"	2000	"Faulkner County"	"Overseas Absentees"	2	0	0	0	0	0	0
"AR"	2000	"Franklin County"	"18 Charleston Ward 2"	3	73	80	155			
"AR"	2000	"Franklin County"	"18 Charleston Ward 2 Box 2"	3	93	92	190			
"AR"	2000	"Franklin County"	"31 Ozark Rural Box 2"	3	94	129	229			
"AR"	2000	"Franklin County"	"33 Ozark Ward 2 Box 2"	3	90	91	186			
"AR"	2000	"Franklin County"	"33 Ozark Ward 2 Box 3"	3	80	111	199			
"AR"	2000	"Franklin County"	"31 Ozark Rural Box 1"	3	175	261	448			
"AR"	2000	"Franklin County"	"Ozark Ward 3 Box 2"	3	64	65	134			
"AR"	2000	"Franklin County"	"Early"	3	225	268	511			
"AR"	2000	"Franklin County"	"Absentee"	3	124	107	234			
"AR"	2000	"Franklin County"	"10 Alix"	3	51	62	115			
"AR"	2000	"Franklin County"	"11 Altus City"	3	108	62	178			
"AR"	2000	"Franklin County"	"12 Altus Rural Wiederkehr Village"	3	61	71	137			
"AR"	2000	"Franklin County"	"13 Boston"	3	45	46	94			
"AR"	2000	"Franklin County"	"14 & 22 Branch - Donald Rural"	3	107	137	249			
"AR"	2000	"Franklin County"	"15 Cecil"	3	61	71	139			
"AR"	2000	"Franklin County"	"16 Charleston Rural"	3	79	99	183			
"AR"	2000	"Franklin County"	"17 Charleston Ward 1"	3	100	93	198			
"AR"	2000	"Franklin County"	"19 Charleston Ward 3"	3	72	85	159			
"AR"	2000	"Franklin County"	"20 Cravens"	3	37	50	91			
"AR"	2000	"Franklin County"	"21 Denning"	3	63	24	88			
"AR"	2000	"Franklin County"	"22 Donald Rural"	3	0	0	0			
"AR"	2000	"Franklin County"	"23 Etna"	3	87	142	233			
"AR"	2000	"Franklin County"	"24 Fern"	3	5	36	42			
"AR"	2000	"Franklin County"	"25 Ivy"	3	74	118	199			
"AR"	2000	"Franklin County"	"26 Jethro"	3	39	63	103			
"AR"	2000	"Franklin County"	"27 Lonelm"	3	54	78	133			
"AR"	2000	"Franklin County"	"28 Middle"	3	55	88	150			
"AR"	2000	"Franklin County"	"29 Mountain"	3	29	36	70			
"AR"	2000	"Franklin County"	"30 Oak Bend"	3	40	54	109			
"AR"	2000	"Franklin County"	"32 Ozark Ward 1"	3	73	88	161			
"AR"	2000	"Franklin County"	"33 Ozark Ward 2 Box 1"	3	75	78	155			
"AR"	2000	"Franklin County"	"34 Ozark Ward 3"	3	82	66	155			
"AR"	2000	"Franklin County"	"35 Philpot"	3	57	92	153			
"AR"	2000	"Franklin County"	"36 South Middle"	3	50	109	165			
"AR"	2000	"Franklin County"	"37 Vesta"	3	55	78	141			
"AR"	2000	"Franklin County"	"38 Wallace"	3	42	79	123			
"AR"	2000	"Franklin County"	"39 Watalula"	3	55	68	131			
"AR"	2000	"Fulton County"	"Early"	1	205	220	436	238	191	429
"AR"	2000	"Fulton County"	"Absentee"	1	48	48	101	48	40	88
"AR"	2000	"Fulton County"	"01 Afton"	1	68	72	142	73	67	140
"AR"	2000	"Fulton County"	"02 Benton"	1	394	332	740	439	291	730
"AR"	2000	"Fulton County"	"03 Big Creek"	1	66	46	114	71	38	109
"AR"	2000	"Fulton County"	"04 Cleveland"	1	51	59	117	69	47	116
"AR"	2000	"Fulton County"	"05 Fulton"	1	182	150	345	195	136	331
"AR"	2000	"Fulton County"	"06 Mammoth Spring"	1	337	346	696	400	291	691
"AR"	2000	"Fulton County"	"07 Mt. Calm"	1	18	27	46	20	20	40
"AR"	2000	"Fulton County"	"08 Myatt"	1	43	38	83	43	41	84
"AR"	2000	"Fulton County"	"09 Pleasant Ridge Agnos - Heart"	1	138	201	341	170	170	340
"AR"	2000	"Fulton County"	"10 Pleasant Ridge - Cherokee Village"	1	125	171	299	108	190	298
"AR"	2000	"Fulton County"	"11 Southfork"	1	70	70	144	69	74	143
"AR"	2000	"Fulton County"	"12 Strawberry"	1	77	61	141	83	57	140
"AR"	2000	"Fulton County"	"13 Union"	1	39	34	77	44	31	75
"AR"	2000	"Fulton County"	"14 Vidette - Bayou"	1	37	73	112	60	52	112
"AR"	2000	"Fulton County"	"15 Washington"	1	58	53	118	70	46	116
