state	year	cd	county	town	ward_precinct	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"ME"	2010	1	"LIN"	"SOMERVILLE"	"1-1"	54	124	234	118	111	229
"ME"	2010	1	"LIN"	"SOUTH BRISTOL"	"1-1"	118	176	515	299	208	507
"ME"	2010	1	"LIN"	"SOUTHPORT"	"1-1"	77	168	399	191	201	392
"ME"	2010	1	"LIN"	"WALDOBORO"	"1-1"	387	1021	2203	1154	1017	2171
"ME"	2010	1	"LIN"	"WESTPORT ISLAND"	"1-1"	67	176	435	223	205	428
"ME"	2010	1	"LIN"	"WHITEFIELD"	"1-1"	207	439	1081	568	496	1064
"ME"	2010	1	"LIN"	"WISCASSET"	"1-1"	268	777	1654	798	829	1627
"ME"	2010	2	"OXF"	"ALBANY TWP"	"1-1"	32	72	237	94	140	234
"ME"	2010	2	"OXF"	"ANDOVER"	"1-1"	62	169	440	186	248	434
"ME"	2010	2	"OXF"	"BETHEL"	"1-1"	275	508	1320	511	797	1308
"ME"	2010	2	"OXF"	"BROWNFIELD"	"1-1"	133	238	648	263	370	633
"ME"	2010	2	"OXF"	"BUCKFIELD"	"1-1"	119	417	897	411	467	878
"ME"	2010	2	"OXF"	"BYRON"	"1-1"	14	36	83	36	45	81
"ME"	2010	2	"OXF"	"CANTON"	"1-1"	74	169	421	165	257	422
"ME"	2010	2	"OXF"	"DENMARK"	"1-1"	79	246	545	240	288	528
"ME"	2010	2	"OXF"	"DIXFIELD"	"1-1"	171	439	1029	384	617	1001
"ME"	2010	2	"OXF"	"FRYEBURG"	"1-1"	284	510	1288	503	757	1260
"ME"	2010	2	"OXF"	"GILEAD"	"1-1"	24	35	104	37	65	102
"ME"	2010	2	"OXF"	"GREENWOOD"	"1-1"	67	172	391	164	224	388
"ME"	2010	2	"OXF"	"HANOVER"	"1-1"	14	68	144	64	80	144
"ME"	2010	2	"OXF"	"HARTFORD"	"1-1"	65	214	506	216	279	495
"ME"	2010	2	"OXF"	"HEBRON"	"1-1"	72	278	589	281	293	574
"ME"	2010	2	"OXF"	"HIRAM"	"1-1"	92	231	614	243	348	591
"ME"	2010	2	"OXF"	"LINCOLN PLT"	"1-1"	1	19	25	18	6	24
"ME"	2010	2	"OXF"	"LOVELL"	"1-1"	110	231	563	237	319	556
"ME"	2010	2	"OXF"	"MAGALLOWAY PLT"	"1-1"	1	7	16	7	8	15
"ME"	2010	2	"OXF"	"MEXICO"	"1-1"	281	317	1057	260	792	1052
"ME"	2010	2	"OXF"	"MILTON TWP"		12	24	63	26	36	62
"ME"	2010	2	"OXF"	"NEWRY"	"1-1"	33	68	209	80	125	205
"ME"	2010	2	"OXF"	"NORWAY"	"1-1"	409	892	2334	914	1394	2308
"ME"	2010	2	"OXF"	"OTISFIELD"	"1-1"	132	369	906	403	485	888
"ME"	2010	2	"OXF"	"OXFORD"	"1-1"	259	865	1952	895	1026	1921
"ME"	2010	2	"OXF"	"PARIS"	"1-1"	358	920	2329	1017	1252	2269
"ME"	2010	2	"OXF"	"PERU"	"1-1"	121	296	751	286	461	747
"ME"	2010	2	"OXF"	"PORTER"	"1-1"	107	233	600	263	315	578
"ME"	2010	2	"OXF"	"RANGELEY OXF TWPS"		2	5	10	3	7	10
"ME"	2010	2	"OXF"	"ROXBURY"	"1-1"	43	86	226	74	147	221
"ME"	2010	2	"OXF"	"RUMFORD"	"1-1"	623	835	2401	727	1652	2379
"ME"	2010	2	"OXF"	"STONEHAM"	"1-1"	24	43	133	45	87	132
"ME"	2010	2	"OXF"	"STOW"	"1-1"	34	41	148	38	109	147
"ME"	2010	2	"OXF"	"SUMNER"	"1-1"	94	200	483	198	233	431
"ME"	2010	2	"OXF"	"SWEDEN"	"1-1"	38	70	198	81	115	196
"ME"	2010	2	"OXF"	"UPTON"	"1-1"	4	28	57	31	26	57
"ME"	2010	2	"OXF"	"WATERFORD"	"1-1"	117	306	806	326	465	791
"ME"	2010	2	"OXF"	"WEST PARIS"	"1-1"	160	327	803	319	456	775
"ME"	2010	2	"OXF"	"WOODSTOCK"	"1-1"	119	297	674	324	327	651
"ME"	2010	2	"PEN"	"ALTON"	"1-1"	42	155	359	166	187	353
"ME"	2010	2	"PEN"	"ARGYLE TWP"		8	29	68	33	33	66
"ME"	2010	2	"PEN"	"BANGOR"	"1-1"	729	1596	4509	1904	2521	4425
"ME"	2010	2	"PEN"	"BANGOR"	"CENTRAL ABSENTEE"	1450	2261	6475	2608	3811	6419
"ME"	2010	2	"PEN"	"BRADFORD"	"1-1"	49	242	497	277	227	504
"ME"	2010	2	"PEN"	"BRADLEY"	"1-1"	92	229	639	265	372	637
"ME"	2010	2	"PEN"	"BREWER"	"1-1"	456	1697	3993	1996	1958	3954
"ME"	2010	2	"PEN"	"BURLINGTON"	"1-1"	18	75	137	77	62	139
"ME"	2010	2	"PEN"	"CARMEL"	"1-1"	118	616	1177	649	507	1156
"ME"	2010	2	"PEN"	"CARROLL PLT"	"1-1"	5	39	67	35	32	67
"ME"	2010	2	"PEN"	"CHARLESTON"	"1-1"	41	328	522	349	168	517
"ME"	2010	2	"PEN"	"CHESTER"	"1-1"	14	126	205	125	77	202
"ME"	2010	2	"PEN"	"CLIFTON"	"1-1"	52	175	430	198	225	423
"ME"	2010	2	"PEN"	"CORINNA"	"1-1"	64	449	862	509	347	856
"ME"	2010	2	"PEN"	"CORINTH"	"1-1"	115	639	1103	651	442	1093
"ME"	2010	2	"PEN"	"DEXTER"	"1-1"	180	633	1415	687	701	1388
"ME"	2010	2	"PEN"	"DIXMONT"	"1-1"	74	292	569	289	265	554
"ME"	2010	2	"PEN"	"DREW PLT"	"1-1"	1	9	13	10	3	13
"ME"	2010	2	"PEN"	"EAST MILLINOCKET"	"1-1"	155	287	870	276	600	876
"ME"	2010	2	"PEN"	"EAST MILLINOCKET PEN TWPS"		0	0	2	0	2	2
"ME"	2010	2	"PEN"	"EDDINGTON"	"1-1"	106	480	1041	546	479	1025
"ME"	2010	2	"PEN"	"EDINBURG"	"1-1"	6	35	66	31	33	64
"ME"	2010	2	"PEN"	"ENFIELD"	"1-1"	57	287	637	288	351	639
"ME"	2010	2	"PEN"	"ETNA"	"1-1"	50	235	465	242	209	451
"ME"	2010	2	"PEN"	"EXETER"	"1-1"	41	242	444	246	193	439
"ME"	2010	2	"PEN"	"GARLAND"	"1-1"	53	209	419	242	177	419
"ME"	2010	2	"PEN"	"GLENBURN"	"1-1"	213	943	1951	1061	874	1935
"ME"	2010	2	"PEN"	"GRAND LAKE STREAM PLT TWPS"		0	0	0	0	0	0
"ME"	2010	2	"PEN"	"GREENBUSH"	"1-1"	48	264	496	286	198	484
"ME"	2010	2	"PEN"	"GREENFIELD TWP"		7	61	108	61	37	98
"ME"	2010	2	"PEN"	"HAMPDEN"	"1-1,2-1,3-1,4-1"	437	1422	3483	1738	1710	3448
"ME"	2010	2	"PEN"	"HERMON"	"1-1"	214	1233	2368	1359	981	2340
"ME"	2010	2	"PEN"	"HOLDEN"	"1-1"	158	758	1614	861	732	1593
"ME"	2010	2	"PEN"	"HOWLAND"	"1-1"	55	204	511	221	283	504
"ME"	2010	2	"PEN"	"HUDSON"	"1-1"	47	312	570	331	221	552
"ME"	2010	2	"PEN"	"KENDUSKEAG"	"1-1"	48	242	492	262	224	486
"ME"	2010	2	"PEN"	"KINGMAN TWP"	"1-1"	6	37	58	34	24	58
"ME"	2010	2	"PEN"	"LAGRANGE"	"1-1"	34	140	275	148	125	273
"ME"	2010	2	"PEN"	"LAKEVILLE"	"1-1"	8	32	67	32	35	67
"ME"	2010	2	"PEN"	"LEE"	"1-1"	36	214	416	222	197	419
"ME"	2010	2	"PEN"	"LEVANT"	"1-1"	93	565	1084	613	449	1062
"ME"	2010	2	"PEN"	"LINCOLN"	"1-1"	185	971	1844	997	835	1832
"ME"	2010	2	"PEN"	"LOWELL"	"1-1"	16	87	170	100	65	165
"ME"	2010	2	"PEN"	"MATTAMISCONTIS TWP"		0	20	27	18	9	27
"ME"	2010	2	"PEN"	"MATTAWAMKEAG"	"1-1"	35	125	284	112	165	277
"ME"	2010	2	"PEN"	"MAXFIELD"	"1-1"	7	31	55	26	29	55
"ME"	2010	2	"PEN"	"MEDWAY"	"1-1"	51	315	586	276	309	585
"ME"	2010	2	"PEN"	"MEDWAY PEN TWPS"		3	12	28	11	17	28
"ME"	2010	2	"PEN"	"MILFORD"	"1-1"	134	381	1138	424	689	1113
"ME"	2010	2	"PEN"	"MILLINOCKET"	"1-1,1-2"	308	748	2156	744	1410	2154
"ME"	2010	2	"PEN"	"MILLINOCKET PEN TWPS"		11	33	80	49	75	124
"ME"	2010	2	"PEN"	"MOUNT CHASE"	"1-1"	10	62	105	48	57	105
"ME"	2010	2	"PEN"	"NEWBURGH"	"1-1"	70	346	733	380	346	726
"ME"	2010	2	"PEN"	"NEWPORT"	"1-1"	141	660	1284	710	558	1268
"ME"	2010	2	"PEN"	"OLD TOWN"	"1-1"	153	308	1002	349	633	982
"ME"	2010	2	"PEN"	"OLD TOWN"	"2-1"	164	379	1053	446	592	1038
"ME"	2010	2	"PEN"	"OLD TOWN"	"3-1"	142	239	779	273	502	775
"ME"	2010	2	"PEN"	"OLD TOWN"	"4-1"	28	33	157	49	105	154
"ME"	2010	2	"PEN"	"ORONO"	"1-1"	350	259	1337	328	978	1306
"ME"	2010	2	"PEN"	"ORONO"	"1-2"	147	128	609	162	424	586
"ME"	2010	2	"PEN"	"ORONO"	"1-3"	265	197	969	253	697	950
"ME"	2010	2	"PEN"	"ORONO"	"2-1"	55	131	335	161	174	335
"ME"	2010	2	"PEN"	"ORRINGTON"	"1-1"	182	865	1878	995	858	1853
"ME"	2010	2	"PEN"	"PASSADUMKEAG"	"1-1"	8	82	157	80	78	158
"ME"	2010	2	"PEN"	"PATTEN"	"1-1"	52	209	445	208	237	445
"ME"	2010	2	"PEN"	"PENOB NAT VOTING DIS"	"1-1"	89	14	163	23	136	159
"ME"	2010	2	"PEN"	"PLYMOUTH"	"1-1"	59	307	540	308	217	525
"ME"	2010	2	"PEN"	"PRENTISS TWP"	"1-1"	4	27	45	30	15	45
"ME"	2010	2	"PEN"	"SEBOEIS PLT"	"1-1"	2	5	25	8	18	26
"ME"	2010	2	"PEN"	"SPRINGFIELD"	"1-1"	10	83	146	73	70	143
"ME"	2010	2	"PEN"	"STACYVILLE"	"1-1"	20	88	165	72	89	161
"ME"	2010	2	"PEN"	"STETSON"	"1-1"	48	314	570	297	262	559
"ME"	2010	2	"PEN"	"VEAZIE"	"1-1"	96	323	876	401	462	863
"ME"	2010	2	"PEN"	"WEBSTER PLT"	"1-1"	2	11	23	9	14	23
"ME"	2010	2	"PEN"	"WINN"	"1-1"	9	93	174	92	74	166
"ME"	2010	2	"PEN"	"WOODVILLE"	"1-1"	17	43	92	36	56	92
"ME"	2010	2	"PIS"	"ABBOT"	"1-1"	23	188	327	177	144	321
"ME"	2010	2	"PIS"	"ATKINSON"	"1-1"	12	85	160	89	67	156
"ME"	2010	2	"PIS"	"BEAVER COVE"	"1-1"	5	40	75	41	29	70
"ME"	2010	2	"PIS"	"BEAVER COVE TWPS"		0	5	11	6	5	11
"ME"	2010	2	"PIS"	"BOWERBANK"	"1-1"	1	43	72	47	24	71
"ME"	2010	2	"PIS"	"BROWNVILLE"	"1-1"	62	259	581	276	297	573
"ME"	2010	2	"PIS"	"DOVER-FOXCROFT"	"1-1"	241	827	1863	926	920	1846
"ME"	2010	2	"PIS"	"ELLIOTTSVILLE TWP"		0	0	0	0	0	0
"ME"	2010	2	"PIS"	"GREENVILLE"	"1-1"	89	439	920	485	422	907
"ME"	2010	2	"PIS"	"GREENVILLE PIS TWPS"		1	12	19	13	6	19
"ME"	2010	2	"PIS"	"GUILFORD"	"1-1"	35	294	577	333	235	568
"ME"	2010	2	"PIS"	"KINGSBURY PLT"	"1-1"	2	5	12	7	5	12
"ME"	2010	2	"PIS"	"LAKE VIEW PLT"	"1-1"	3	17	50	20	29	49
"ME"	2010	2	"PIS"	"MEDFORD"	"1-1"	17	57	104	57	47	104
"ME"	2010	2	"PIS"	"MILLINOCKET PIS TWPS"		2	20	41	25	17	42
"ME"	2010	2	"PIS"	"MILO"	"1-1"	122	461	946	489	448	937
"ME"	2010	2	"PIS"	"MONSON"	"1-1"	57	178	393	200	186	386
"ME"	2010	2	"PIS"	"ORNEVILLE TWP"		0	0	1	1	0	1
"ME"	2010	2	"PIS"	"PARKMAN"	"1-1"	34	171	336	179	145	324
"ME"	2010	2	"PIS"	"SANGERVILLE"	"1-1"	58	285	567	302	259	561
"ME"	2010	2	"PIS"	"SEBEC"	"1-1"	38	191	331	197	130	327
"ME"	2010	2	"PIS"	"SHIRLEY"	"1-1"	8	81	130	85	44	129
"ME"	2010	2	"PIS"	"T8 R11 WELS"		0	0	0	0	0	0
"ME"	2010	2	"PIS"	"WELLINGTON"	"1-1"	22	30	100	32	65	97
"ME"	2010	2	"PIS"	"WILLIMANTIC"	"1-1"	5	36	70	44	26	70
"ME"	2010	1	"SAG"	"ARROWSIC"	"1-1"	71	71	291	184	102	286
"ME"	2010	1	"SAG"	"BATH"	"1-1,2-1,3-1,4-1,5-1,6-1,7-1"	900	1195	3802	2292	1472	3764
"ME"	2010	1	"SAG"	"BOWDOIN"	"1-1"	138	654	1325	586	711	1297
"ME"	2010	1	"SAG"	"BOWDOINHAM"	"1-1"	297	548	1518	849	652	1501
"ME"	2010	1	"SAG"	"GEORGETOWN"	"1-1"	162	218	654	376	269	645
"ME"	2010	1	"SAG"	"PHIPPSBURG"	"1-5,1-7"	179	473	1155	616	526	1142
"ME"	2010	1	"SAG"	"RICHMOND"	"1-1"	249	648	1543	799	693	1492
"ME"	2010	1	"SAG"	"TOPSHAM"	"1-1"	871	1621	4566	2477	2026	4503
"ME"	2010	1	"SAG"	"WEST BATH"	"2-2,4-1,4-2"	169	408	1005	527	472	999
"ME"	2010	1	"SAG"	"WOOLWICH"	"1-1"	294	659	1589	799	769	1569
"ME"	2010	2	"SOM"	"ANSON"	"1-1"	140	421	910	394	499	893
"ME"	2010	2	"SOM"	"ATHENS"	"1-1"	49	166	330	157	169	326
"ME"	2010	2	"SOM"	"BINGHAM"	"1-1"	56	193	387	193	195	388
"ME"	2010	2	"SOM"	"BRIGHTON PLT"	"1-1"	0	15	26	15	16	31
"ME"	2010	2	"SOM"	"CAMBRIDGE"	"1-1"	12	138	216	133	78	211
"ME"	2010	2	"SOM"	"CANAAN"	"1-1"	106	403	815	383	415	798
"ME"	2010	2	"SOM"	"CARATUNK"	"1-1"	6	27	45	23	19	42
"ME"	2010	2	"SOM"	"CONCORD TWP"		0	2	3	0	3	3
"ME"	2010	2	"SOM"	"CORNVILLE"	"1-1"	66	274	567	291	270	561
"ME"	2010	2	"SOM"	"DENNISTOWN PLT"	"1-1"	3	10	17	11	6	17
"ME"	2010	2	"SOM"	"DETROIT"	"1-1"	22	139	286	140	138	278
"ME"	2010	2	"SOM"	"EMBDEN"	"1-1"	39	218	430	225	195	420
"ME"	2010	2	"SOM"	"EUSTIS SOM TWPS"		0	0	0	0	0	0
"ME"	2010	2	"SOM"	"FAIRFIELD"	"1-1"	404	1311	2711	1181	1487	2668
"ME"	2010	2	"SOM"	"GREENVILLE SOM TWPS"		0	0	0	0	0	0
"ME"	2010	2	"SOM"	"HARMONY"	"1-1"	44	199	373	205	160	365
"ME"	2010	2	"SOM"	"HARTLAND"	"1-1"	72	421	718	434	278	712
"ME"	2010	2	"SOM"	"HIGHLAND PLT"	"1-1"	8	61	104	68	34	102
"ME"	2010	2	"SOM"	"JACKMAN"	"1-1,1-2"	39	234	422	225	192	417
"ME"	2010	2	"SOM"	"MADISON"	"1-1"	272	803	1775	783	953	1736
"ME"	2010	2	"SOM"	"MERCER"	"1-1"	28	149	323	140	177	317
"ME"	2010	2	"SOM"	"MOOSE RIVER"	"1-1"	7	53	87	53	35	88
"ME"	2010	2	"SOM"	"MOSCOW"	"1-1"	31	87	178	77	99	176
"ME"	2010	2	"SOM"	"NEW PORTLAND"	"1-1"	54	155	363	177	184	361
"ME"	2010	2	"SOM"	"NORRIDGEWOCK"	"1-1"	153	598	1248	619	620	1239
"ME"	2010	2	"SOM"	"PALMYRA"	"1-1"	76	515	875	496	354	850
"ME"	2010	2	"SOM"	"PITTSFIELD"	"1-1,1-2,1-3,1-4"	172	719	1510	779	696	1475
"ME"	2010	2	"SOM"	"PLEASANT RIDGE PLT"	"1-1"	5	23	48	25	23	48
"ME"	2010	2	"SOM"	"RIPLEY"	"1-1"	11	114	193	98	90	188
"ME"	2010	2	"SOM"	"ROCKWOOD STRIP TWP"	"1-1"	20	110	188	109	77	186
"ME"	2010	2	"SOM"	"SAINT ALBANS"	"1-1"	79	446	826	488	325	813
"ME"	2010	2	"SOM"	"SKOWHEGAN"	"1-1"	532	1377	3163	1313	1787	3100
"ME"	2010	2	"SOM"	"SMITHFIELD"	"1-1"	66	233	499	241	253	494
"ME"	2010	2	"SOM"	"SOLON"	"1-1"	77	231	489	222	256	478
"ME"	2010	2	"SOM"	"STARKS"	"1-1"	43	104	260	128	129	257
"ME"	2010	2	"SOM"	"THE FORKS PLT"	"1-1"	4	26	42	27	15	42
"ME"	2010	2	"SOM"	"WEST FORKS PLT"	"1-1"	7	19	41	13	26	39
"ME"	2010	2	"WAL"	"BELFAST"	"1-1,2-1"	345	298	1247	397	825	1222
"ME"	2010	2	"WAL"	"BELFAST"	"3-1,4-1"	290	418	1282	469	799	1268
"ME"	2010	2	"WAL"	"BELFAST"	"5-1"	95	214	535	233	292	525
"ME"	2010	2	"WAL"	"BELMONT"	"1-1"	64	158	415	176	231	407
"ME"	2010	2	"WAL"	"BROOKS"	"1-1"	61	200	433	208	212	420
"ME"	2010	2	"WAL"	"BURNHAM"	"1-1"	53	260	480	255	213	468
"ME"	2010	2	"WAL"	"FRANKFORT"	"1-1"	60	221	459	227	224	451
"ME"	2010	2	"WAL"	"FREEDOM"	"1-1"	70	114	334	126	200	326
"ME"	2010	2	"WAL"	"ISLESBORO"	"1-1"	81	88	333	110	212	322
"ME"	2010	2	"WAL"	"JACKSON"	"1-1"	41	100	239	102	128	230
"ME"	2010	2	"WAL"	"KNOX"	"1-1"	31	174	309	158	141	299
"ME"	2010	2	"WAL"	"LIBERTY"	"1-1"	60	182	424	207	211	418
"ME"	2010	2	"WAL"	"LINCOLNVILLE"	"1-1"	263	393	1207	457	732	1189
"ME"	2010	2	"WAL"	"MONROE"	"1-1"	87	167	420	175	234	409
"ME"	2010	2	"WAL"	"MONTVILLE"	"1-1"	98	170	472	173	288	461
"ME"	2010	2	"WAL"	"MORRILL"	"1-1"	48	197	404	217	176	393
"ME"	2010	2	"WAL"	"NORTHPORT"	"1-1"	126	307	774	326	431	757
"ME"	2010	2	"WAL"	"PALERMO"	"1-1"	110	357	706	366	323	689
"ME"	2010	2	"WAL"	"PROSPECT"	"1-1"	36	133	304	142	159	301
"ME"	2010	2	"WAL"	"SEARSMONT"	"1-1"	86	266	600	260	327	587
"ME"	2010	2	"WAL"	"SEARSPORT"	"1-1"	206	480	1208	542	638	1180
"ME"	2010	2	"WAL"	"STOCKTON SPRINGS"	"1-1"	138	295	823	327	478	805
"ME"	2010	2	"WAL"	"SWANVILLE"	"1-1"	86	241	530	249	270	519
"ME"	2010	2	"WAL"	"THORNDIKE"	"1-1"	49	132	337	145	179	324
"ME"	2010	2	"WAL"	"TROY"	"1-1"	59	214	447	224	214	438
"ME"	2010	2	"WAL"	"UNITY"	"1-1"	153	358	775	356	395	751
"ME"	2010	2	"WAL"	"WALDO"	"1-1"	47	132	319	130	186	316
"ME"	2010	2	"WAL"	"WINTERPORT"	"1-1"	210	819	1773	875	868	1743
"ME"	2010	2	"WAS"	"ADDISON"	"1-1"	48	236	483	235	228	463
"ME"	2010	2	"WAS"	"ALEXANDER"	"1-1"	27	81	236	118	112	230
"ME"	2010	2	"WAS"	"BAILEYVILLE"	"1-1"	96	189	533	214	319	533
"ME"	2010	2	"WAS"	"BARING PLT"	"1-1"	14	41	89	39	49	88
"ME"	2010	2	"WAS"	"BEALS"	"1-1"	22	83	176	88	87	175
"ME"	2010	2	"WAS"	"BEDDINGTON"	"1-1"	6	15	28	16	11	27
"ME"	2010	2	"WAS"	"BROOKTON TWP"	"1-1"	4	63	89	65	22	87
"ME"	2010	2	"WAS"	"CALAIS"	"1-1"	180	526	1230	543	669	1212
"ME"	2010	2	"WAS"	"CENTERVILLE TWP"		0	14	16	11	5	16
"ME"	2010	2	"WAS"	"CHARLOTTE"	"1-1"	7	77	147	70	70	140
"ME"	2010	2	"WAS"	"CHERRYFIELD"	"1-1"	66	216	469	202	264	466
"ME"	2010	2	"WAS"	"COLUMBIA"	"1-1"	15	92	157	85	65	150
"ME"	2010	2	"WAS"	"COLUMBIA FALLS"	"1-1"	26	139	265	135	116	251
"ME"	2010	2	"WAS"	"COOPER"	"1-1"	15	49	107	53	54	107
"ME"	2010	2	"WAS"	"CRAWFORD"	"1-1"	4	31	59	26	30	56
"ME"	2010	2	"WAS"	"CUTLER"	"1-1"	25	93	214	109	102	211
"ME"	2010	2	"WAS"	"DANFORTH"	"1-1"	17	91	212	110	96	206
"ME"	2010	2	"WAS"	"DEBLOIS"	"1-1"	3	11	24	16	6	22
"ME"	2010	2	"WAS"	"DENNYSVILLE"	"1-1"	13	74	139	72	65	137
"ME"	2010	2	"WAS"	"EAST MACHIAS"	"1-1"	84	295	604	302	286	588
"ME"	2010	2	"WAS"	"EASTPORT"	"1-1"	141	228	722	255	445	700
"ME"	2010	2	"WAS"	"EDMUNDS TWP"	"1-1"	14	59	137	56	77	133
"ME"	2010	2	"WAS"	"GRAND LAKE STREAM PLT"	"1-1"	9	49	84	52	30	82
"ME"	2010	2	"WAS"	"HARRINGTON"	"1-1"	35	179	341	176	162	338
"ME"	2010	2	"WAS"	"INDIAN TOWNSHIP"	"1-1"	52	9	117	17	96	113
"ME"	2010	2	"WAS"	"JONESBORO"	"1-1"	27	96	232	111	116	227
"ME"	2010	2	"WAS"	"JONESPORT"	"1-1"	64	194	469	217	239	456
"ME"	2010	2	"WAS"	"LUBEC"	"1-1"	140	243	706	290	396	686
"ME"	2010	2	"WAS"	"MACHIAS"	"1-1"	132	296	728	332	381	713
"ME"	2010	2	"WAS"	"MACHIASPORT"	"1-1,1-2"	72	186	406	188	209	397
"ME"	2010	2	"WAS"	"MARSHFIELD"	"1-1"	26	127	259	142	114	256
"ME"	2010	2	"WAS"	"MEDDYBEMPS"	"1-1"	6	46	91	47	41	88
"ME"	2010	2	"WAS"	"MILBRIDGE"	"1-1"	61	232	528	247	275	522
"ME"	2010	2	"WAS"	"NORTHFIELD"	"1-1"	9	28	71	32	38	70
"ME"	2010	2	"WAS"	"PEMBROKE"	"1-1"	60	162	375	155	207	362
"ME"	2010	2	"WAS"	"PERRY"	"1-1"	50	179	398	184	206	390
"ME"	2010	2	"WAS"	"PLEASANT PT VOTING DIS"	"1-1"	37	20	108	19	86	105
"ME"	2010	2	"WAS"	"PRINCETON"	"1-1,1-2"	42	172	378	183	193	376
"ME"	2010	2	"WAS"	"ROBBINSTON"	"1-1"	40	116	270	116	139	255
"ME"	2010	2	"WAS"	"ROQUE BLUFFS"	"1-1"	20	41	132	48	77	125
"ME"	2010	2	"WAS"	"STEUBEN"	"1-1"	55	181	402	192	201	393
"ME"	2010	2	"WAS"	"T19 MD BPP"		0	1	2	2	0	2
"ME"	2010	2	"WAS"	"TALMADGE"	"1-1"	4	20	32	16	16	32
"ME"	2010	2	"WAS"	"TOPSFIELD"	"1-1"	8	61	105	64	39	103
"ME"	2010	2	"WAS"	"VANCEBORO"	"1-1"	6	34	79	40	40	80
"ME"	2010	2	"WAS"	"WAITE"	"1-1"	8	22	48	25	22	47
"ME"	2010	2	"WAS"	"WESLEY"	"1-1"	4	29	69	33	34	67
"ME"	2010	2	"WAS"	"WESLEY TWPS"		0	0	0	0	0	0
"ME"	2010	2	"WAS"	"WHITING"	"1-1"	46	120	288	125	158	283
"ME"	2010	2	"WAS"	"WHITNEYVILLE"	"1-1"	18	40	92	44	46	90
"ME"	2010	1	"YOR"	"ACTON"	"1-1"	210	401	1015	500	488	989
"ME"	2010	1	"YOR"	"ALFRED"	"1-1,1-2"	232	528	1421	699	696	1395
"ME"	2010	1	"YOR"	"ARUNDEL"	"1-1"	320	670	1846	982	836	1818
"ME"	2010	1	"YOR"	"BERWICK"	"1-1"	528	1012	2322	1040	1241	2282
"ME"	2010	1	"YOR"	"BIDDEFORD"	"1-1"	246	352	1120	654	455	1109
"ME"	2010	1	"YOR"	"BIDDEFORD"	"2-1"	265	277	930	601	318	919
"ME"	2010	1	"YOR"	"BIDDEFORD"	"3-1"	334	456	1532	956	551	1507
"ME"	2010	1	"YOR"	"BIDDEFORD"	"4-1"	319	250	1029	706	300	1006
"ME"	2010	1	"YOR"	"BIDDEFORD"	"5-1"	334	261	1019	733	273	1006
"ME"	2010	1	"YOR"	"BIDDEFORD"	"6-1"	213	345	1159	652	479	1131
"ME"	2010	1	"YOR"	"BIDDEFORD"	"7-1"	263	308	1019	622	378	1000
"ME"	2010	1	"YOR"	"BUXTON"	"1-1"	482	1281	3592	1746	1740	3486
"ME"	2010	1	"YOR"	"CORNISH"	"1-1"	119	251	645	346	281	627
"ME"	2010	1	"YOR"	"DAYTON"	"1-1"	123	318	896	447	425	874
"ME"	2010	1	"YOR"	"ELIOT"	"1-1"	879	1022	2869	1406	1443	2849
"ME"	2010	1	"YOR"	"HOLLIS"	"1-1"	274	644	1941	1021	879	1903
"ME"	2010	1	"YOR"	"KENNEBUNK"	"1-1,1-2"	1314	1710	5432	2911	2476	5387
"ME"	2010	1	"YOR"	"KENNEBUNKPORT"	"1-1"	421	697	2029	1047	966	2013
"ME"	2010	1	"YOR"	"KITTERY"	"1-1"	1466	1105	3934	2303	1599	3902
"ME"	2010	1	"YOR"	"LEBANON"	"1-1"	399	903	1894	866	1016	1882
"ME"	2010	1	"YOR"	"LIMERICK"	"1-1"	173	457	1115	565	533	1098
"ME"	2010	1	"YOR"	"LIMINGTON"	"1-1"	170	596	1448	666	736	1402
"ME"	2010	1	"YOR"	"LYMAN"	"1-1"	309	674	1830	903	889	1793
"ME"	2010	1	"YOR"	"NEWFIELD"	"1-1"	111	247	617	280	322	602
"ME"	2010	1	"YOR"	"NORTH BERWICK"	"1-1"	413	807	1979	969	977	1946
"ME"	2010	1	"YOR"	"OGUNQUIT"	"1-1"	286	242	760	476	279	755
"ME"	2010	1	"YOR"	"OLD ORCHARD BEACH"	"1-1"	1044	1195	4038	2408	1562	3970
"ME"	2010	1	"YOR"	"PARSONSFIELD"	"1-1"	63	141	348	172	167	339
"ME"	2010	1	"YOR"	"PARSONSFIELD"	"2-1"	81	125	349	181	163	344
"ME"	2010	1	"YOR"	"SACO"	"1-1"	283	408	1274	722	538	1260
"ME"	2010	1	"YOR"	"SACO"	"2-1"	211	378	1127	591	518	1109
"ME"	2010	1	"YOR"	"SACO"	"3-1"	205	294	966	579	372	951
"ME"	2010	1	"YOR"	"SACO"	"4-1"	297	399	1324	701	610	1311
"ME"	2010	1	"YOR"	"SACO"	"5-1"	196	321	1015	582	405	987
"ME"	2010	1	"YOR"	"SACO"	"6-1"	260	208	905	592	300	892
"ME"	2010	1	"YOR"	"SACO"	"7-1"	234	196	824	549	270	819
"ME"	2010	1	"YOR"	"SANFORD"	"1-1"	260	357	1138	651	466	1117
"ME"	2010	1	"YOR"	"SANFORD"	"2-1"	249	289	912	552	341	893
"ME"	2010	1	"YOR"	"SANFORD"	"3-1"	258	366	1122	632	463	1095
